year,metric,value
FY2023,flow_reins,10547
FY2023,funding_agreements,7193
FY2023,gross_inorganic,2214
FY2023,gross_organic,63407
FY2023,gross_outflows,-33868
FY2023,inflows_adip,22621
FY2023,inflows_athene,43000
FY2023,inflows_ceded_3p,0
FY2023,net_flows,31753
FY2023,other_spread,0
FY2023,pga,10374
FY2023,retail,35293
FY2023,sre,3107
FY2023,sre_alt_nii,864
FY2023,sre_cof,-5650
FY2023,sre_fees,72
FY2023,sre_fi_nii,8744
FY2023,sre_fin,-436
FY2023,sre_nie,9608
FY2023,sre_nis,4030
FY2023,sre_opex,-487
FY2023,total_gross_inflows,65621
FY2024,flow_reins,5573
FY2024,funding_agreements,28748
FY2024,gross_inorganic,0
FY2024,gross_organic,71003
FY2024,gross_outflows,-33469
FY2024,inflows_adip,17848
FY2024,inflows_athene,49084
FY2024,inflows_ceded_3p,4071
FY2024,net_flows,37534
FY2024,other_spread,0
FY2024,pga,918
FY2024,retail,35764
FY2024,sre,3221
FY2024,sre_alt_nii,939
FY2024,sre_cof,-7702
FY2024,sre_fees,105
FY2024,sre_fi_nii,10811
FY2024,sre_fin,-465
FY2024,sre_nie,11750
FY2024,sre_nis,4153
FY2024,sre_opex,-467
FY2024,total_gross_inflows,71003
FY2025,flow_reins,11171
FY2025,funding_agreements,35375
FY2025,gross_inorganic,1340
FY2025,gross_organic,82098
FY2025,gross_outflows,-35528
FY2025,inflows_adip,18452
FY2025,inflows_athene,63236
FY2025,inflows_ceded_3p,1750
FY2025,net_flows,47910
FY2025,other_spread,674
FY2025,pga,751
FY2025,retail,34127
FY2025,sre,3361
FY2025,sre_alt_nii,1299
FY2025,sre_cof,-10083
FY2025,sre_fees,131
FY2025,sre_fi_nii,13026
FY2025,sre_fin,-560
FY2025,sre_nie,14325
FY2025,sre_nis,4373
FY2025,sre_opex,-452
FY2025,total_gross_inflows,83438
