table,rank,key,name,section,n_positions,bacv
top_issuers,1,46500Q,ISQ GLOBAL INFRASTRUCTURE CRED SENIOR RE,ALL,2,315503922
top_issuers,2,61036*,MONROE CAPITAL STARR CLO I LLC MONROESTA,ALL,5,315252568
top_issuers,3,61036@,MONROE CAPITAL STARR CLO II LL MONROESTA,ALL,5,302369783
top_issuers,4,55067@,LUX AETERNA 2022-1 LLC ABS_ABS,ALL,5,223779999
top_issuers,5,55068*,LUX AETERNA 2022-2 LLC ABS_ABS,ALL,5,221856346
top_issuers,6,00235*,ASP SUMMA 3 LLC TERM_LOAN,ALL,1,197153005
top_issuers,7,00235@,ASP SUMMA 2 LLC TERM_LOAN,ALL,1,169834707
top_issuers,8,00232*,ASP SUMMA 1 LLC TERM_LOAN,ALL,1,165263771
top_issuers,9,38141G,GOLDMAN SACHS GROUP INC/THE SENIOR CORP_,ALL,16,162029793
top_issuers,10,00236*,ASP SUMMA 4 LLC TERM_LOAN,ALL,1,158380395
top_issuers,11,06051G,BANK OF AMERICA CORP SENIOR CORP_BND,ALL,20,154323263
top_issuers,12,693342,PG&E WILDFIRE RECOVERY FUNDING SENIOR CO,ALL,2,132560462
top_issuers,13,46647P,JPMORGAN CHASE & CO SENIOR CORP_BND,ALL,17,132225990
top_issuers,14,172967,CITIGROUP INC SENIOR CORP_BND,ALL,14,117123527
top_issuers,15,92343V,VERIZON COMMUNICATIONS INC SENIOR CORP_B,ALL,15,110810946
top_issuers,16,08163K,BENCHMARK MORTGAGE TRUST BMARK SUPSEN SE,ALL,2,107251760
top_issuers,17,00161*,ACM AIF-E P2 CL JV GPCC SPE 2 ABS_ABS,ALL,4,105107399
top_issuers,18,907818,UNION PACIFIC CORPORATION SENIOR CORP_BN,ALL,12,103325242
top_issuers,19,95000U,WELLS FARGO & COMPANY SENIOR CORP_BND,ALL,10,102362412
top_issuers,20,023135,AMAZON.COM INC SENIOR CORP_BND,ALL,9,100843689
top_issuers,21,88581E,3650R COMMERCIAL MORTGAGE TRUS LCF SENIO,ALL,1,100236746
top_issuers,22,02209S,ALTRIA GROUP INC SENIOR CORP_BND,ALL,11,98143956
top_issuers,23,36194S,GOVERNMENT NATIONAL MORTGAGE A APROJ_MBS,ALL,1,97298406
top_issuers,24,05552X,BARCLAYS COMMERCIAL MORTGAGE S SENIOR SE,ALL,2,96747099
top_issuers,25,260543,DOW CHEMICAL COMPANY THE SENIOR CORP_BN,ALL,7,94767759
top_issuers,26,110122,BRISTOL-MYERS SQUIBB CO SENIOR CORP_BND,ALL,12,91958060
top_issuers,27,224044,COX COMMUNICATIONS INC SENIOR CORP_BND 1,ALL,9,89976572
top_issuers,28,084664,BERKSHIRE HATHAWAY FINANCE COR SENIOR CO,ALL,6,88471472
top_issuers,29,0778FP,BELL TELEPHONE COMPANY OF CANA SENIOR CO,ALL,4,88060067
top_issuers,30,718172,PHILIP MORRIS INTERNATIONAL IN SENIOR CO,ALL,10,87736348
summary,,d1_total,,,,37602643077
summary,,us_government,,,,22660758
summary,,no_identifier_bucket,,,,75211937
summary,,non_govt_identified,,,,37504770382
summary,,n_issuer_prefixes_non_govt,,,,2822
summary,,top10_bacv,,,,2231424289
summary,,top25_bacv,,,,3884552945
summary,,top50_bacv,,,,5872689425
summary,,remainder_below_top30,,,,33174014918
