quarter,metric,value
1Q25,acra_begin,72164
1Q25,acra_end,76842
1Q25,acra_inflows,5011
1Q25,acra_other,1042
1Q25,acra_own,0
1Q25,acra_withdrawals,-1375
1Q25,avg_nia,255505
1Q25,avg_nia_alt,12506
1Q25,avg_nia_fi,242999
1Q25,core_outflows,-7017
1Q25,flow_reins,4933
1Q25,funding_agreements,11144
1Q25,gaap_dac,267
1Q25,gaap_fpb,541
1Q25,gaap_inv_gl,-828
1Q25,gaap_iscb,1494
1Q25,gaap_mrb,385
1Q25,gaap_ni,759
1Q25,gaap_ni_ahl,465
1Q25,gaap_ni_common,420
1Q25,gaap_ni_nci,294
1Q25,gaap_nii,3991
1Q25,gaap_opex,565
1Q25,gaap_other_rev,4
1Q25,gaap_pref,45
1Q25,gaap_pref_red,0
1Q25,gaap_premiums,127
1Q25,gaap_pretax,934
1Q25,gaap_product_charges,265
1Q25,gaap_tax,175
1Q25,gaap_total_be,3252
1Q25,gaap_total_rev,4186
1Q25,gaap_vie_gl,550
1Q25,gaap_vie_nii,77
1Q25,gross_inorganic,0
1Q25,gross_organic,25563
1Q25,gross_outflows,-8392
1Q25,inflows_adip,4956
1Q25,inflows_athene,20118
1Q25,inflows_ceded_3p,489
1Q25,net_flows,17171
1Q25,nrl_begin,225926
1Q25,nrl_end,241666
1Q25,other_spread,0
1Q25,outflow_income_planned,-1680
1Q25,outflow_isc_unplanned,-744
1Q25,outflow_maturity_driven,-3535
1Q25,outflow_oosc_planned,-1058
1Q25,outflow_policyholder,-3482
1Q25,outflows_adip,-1375
1Q25,outflows_athene,-7017
1Q25,pga,4
1Q25,retail,9482
1Q25,roll_acra_nci,-5011
1Q25,roll_acra_own,0
1Q25,roll_block,0
1Q25,roll_ceded_3p,-496
1Q25,roll_gross_inflows,25830
1Q25,roll_net_inflows,20323
1Q25,roll_net_withdrawals,-7017
1Q25,roll_other,2434
1Q25,sre,804
1Q25,sre_alt_nii,315
1Q25,sre_alt_nii_pct,10.08
1Q25,sre_cof,-2210
1Q25,sre_cof_pct,-3.46
1Q25,sre_fees,29
1Q25,sre_fees_pct,0.05
1Q25,sre_fi_nii,2916
1Q25,sre_fi_nii_pct,4.8
1Q25,sre_fin,-130
1Q25,sre_fin_pct,-0.21
1Q25,sre_nie,3231
1Q25,sre_nie_pct,5.06
1Q25,sre_nis,1050
1Q25,sre_nis_pct,1.65
1Q25,sre_opex,-116
1Q25,sre_opex_pct,-0.18
1Q25,sre_pct,1.26
1Q25,total_gross_inflows,25563
1Q25,total_gross_inflows_check,25563
1Q25,total_gross_outflows_check,-8392
1Q26,acra_begin,89725
1Q26,acra_end,91318
1Q26,acra_inflows,3470
1Q26,acra_other,279
1Q26,acra_own,0
1Q26,acra_withdrawals,-2156
1Q26,avg_nia,296352
1Q26,avg_nia_alt,14480
1Q26,avg_nia_fi,281872
1Q26,core_outflows,-8612
1Q26,cq_naic1,101271
1Q26,cq_naic2,80564
1Q26,cq_naic3,3397
1Q26,cq_naic4,1364
1Q26,cq_naic5,506
1Q26,cq_naic6,762
1Q26,cq_nondesig_big,117
1Q26,cq_nondesig_ig,389
1Q26,cq_total_big,6146
1Q26,cq_total_desig,188370
1Q26,cq_total_ig,182224
1Q26,eq_ahl_total,17848
1Q26,eq_aoci,-3120
1Q26,eq_apic,19262
1Q26,eq_nci,15852
1Q26,eq_re,1706
1Q26,eq_total,33700
1Q26,eq_total_le,447804
1Q26,flow_reins,2603
1Q26,funding_agreements,8531
1Q26,gaap_dac,337
1Q26,gaap_fpb,639
1Q26,gaap_inv_gl,-2078
1Q26,gaap_iscb,1591
1Q26,gaap_mrb,259
1Q26,gaap_ni,-1482
1Q26,gaap_ni_ahl,-1938
1Q26,gaap_ni_common,-1973
1Q26,gaap_ni_nci,456
1Q26,gaap_nii,4769
1Q26,gaap_opex,651
1Q26,gaap_other_rev,4
1Q26,gaap_pref,35
1Q26,gaap_pref_red,0
1Q26,gaap_premiums,217
1Q26,gaap_pretax,191
1Q26,gaap_product_charges,281
1Q26,gaap_tax,1673
1Q26,gaap_total_be,3477
1Q26,gaap_total_rev,3668
1Q26,gaap_vie_gl,407
1Q26,gaap_vie_nii,68
1Q26,gross_inorganic,0
1Q26,gross_organic,19747
1Q26,gross_outflows,-10768
1Q26,inflows_adip,3453
1Q26,inflows_athene,15957
1Q26,inflows_ceded_3p,337
1Q26,net_flows,8979
1Q26,nia_abs,41802
1Q26,nia_alts,15092
1Q26,nia_cash,12969
1Q26,nia_clo,23611
1Q26,nia_cmbs,9662
1Q26,nia_cml,32578
1Q26,nia_corporate,86764
1Q26,nia_credit_sub,110375
1Q26,nia_equity_sec,1975
1Q26,nia_munis_foreign,3168
1Q26,nia_other,5618
1Q26,nia_other_inv_sub,78168
1Q26,nia_real_estate_sub,93160
1Q26,nia_rmbs,7232
1Q26,nia_rml,43688
1Q26,nia_short_term,146
1Q26,nia_total,300290
1Q26,nia_us_gov,15985
1Q26,nrl_begin,271233
1Q26,nrl_deferred_total,168701
1Q26,nrl_end,279189
1Q26,nrl_fa,75962
1Q26,nrl_fixed,82324
1Q26,nrl_indexed,86377
1Q26,nrl_life_other,5038
1Q26,nrl_payout,5239
1Q26,nrl_pga,24249
1Q26,nrl_total,279189
1Q26,other_spread,1343
1Q26,outflow_income_planned,-1845
1Q26,outflow_isc_unplanned,-718
1Q26,outflow_maturity_driven,-4960
1Q26,outflow_oosc_planned,-1089
1Q26,outflow_policyholder,-3652
1Q26,outflows_adip,-2156
1Q26,outflows_athene,-8612
1Q26,pga,0
1Q26,retail,7270
1Q26,roll_acra_nci,-3470
1Q26,roll_acra_own,0
1Q26,roll_block,0
1Q26,roll_ceded_3p,-337
1Q26,roll_gross_inflows,19869
1Q26,roll_net_inflows,16062
1Q26,roll_net_withdrawals,-8612
1Q26,roll_other,506
1Q26,sre,719
1Q26,sre_alt_nii,210
1Q26,sre_alt_nii_pct,5.79
1Q26,sre_cof,-2807
1Q26,sre_cof_pct,-3.79
1Q26,sre_fees,36
1Q26,sre_fees_pct,0.05
1Q26,sre_fi_nii,3551
1Q26,sre_fi_nii_pct,5.04
1Q26,sre_fin,-153
1Q26,sre_fin_pct,-0.21
1Q26,sre_nie,3761
1Q26,sre_nie_pct,5.08
1Q26,sre_nis,990
1Q26,sre_nis_pct,1.34
1Q26,sre_opex,-118
1Q26,sre_opex_pct,-0.16
1Q26,sre_pct,0.97
1Q26,total_gross_inflows,19747
1Q26,total_gross_inflows_check,19747
1Q26,total_gross_outflows_check,-10768
2Q25,acra_begin,76842
2Q25,acra_end,81809
2Q25,acra_inflows,5091
2Q25,acra_other,1293
2Q25,acra_own,0
2Q25,acra_withdrawals,-1417
2Q25,avg_nia,268703
2Q25,avg_nia_alt,12914
2Q25,avg_nia_fi,255789
2Q25,core_outflows,-5813
2Q25,flow_reins,2031
2Q25,funding_agreements,11707
2Q25,gaap_dac,292
2Q25,gaap_fpb,527
2Q25,gaap_inv_gl,-5
2Q25,gaap_iscb,3428
2Q25,gaap_mrb,-111
2Q25,gaap_ni,686
2Q25,gaap_ni_ahl,464
2Q25,gaap_ni_common,503
2Q25,gaap_ni_nci,222
2Q25,gaap_nii,4429
2Q25,gaap_opex,571
2Q25,gaap_other_rev,6
2Q25,gaap_pref,45
2Q25,gaap_pref_red,84
2Q25,gaap_premiums,107
2Q25,gaap_pretax,652
2Q25,gaap_product_charges,274
2Q25,gaap_tax,-34
2Q25,gaap_total_be,4707
2Q25,gaap_total_rev,5359
2Q25,gaap_vie_gl,468
2Q25,gaap_vie_nii,80
2Q25,gross_inorganic,0
2Q25,gross_organic,21232
2Q25,gross_outflows,-7230
2Q25,inflows_adip,5019
2Q25,inflows_athene,15838
