section,page,reason,chunk
ABS,5915,row parsed without values,"31392D-L5-9 ..... Fannie Mae REMIC Trust 2002-W5 FNW 2002-W5 IO ..... ................ .... 1.A .... .......................... ........................ ..................3,191 ......................."
ABS,5915,row parsed without values,31396W-LT-1 ..... Fannie Mae REMIC Trust 2007-W5 FNW 2007-W5 1A3 .... ................ ....6. * ... .......................... ........................ ....................297 ........................
ABS,5915,row parsed without values,31396W-LU-8 ..... Fannie Mae REMIC Trust 2007-W5 FNW 2007-W5 2A3 .... ................ .... 1.A .... .......................... ........................ ..................... 36 ......................
ABS,5915,row parsed without values,"31396X-E6-7 ..... Fannie Mae REMICS FNR 2007-106 A5 ..................... ................ ....6. * ... .......................... ........................ ..................1,085 ...................."
ABS,5919,row parsed without values,02150Q-AF-3 ..... Alternative Loan Trust 2007-HY CWALT 2007-HY4 2A3 ................ ....6. * ... .......................... ........................ ....................285 ..........................
ABS,5919,row parsed without values,02150Q-AJ-5 ..... Alternative Loan Trust 2007-HY CWALT 2007-HY4 3A3 ................ ....6. * ... .......................... ........................ ..................... 74 .........................
ABS,5920,row parsed without values,05530N-BK-2 ..... BCAP LLC Trust 2007-AA2 BCAP 2007-AA2 22IO ......... ................ ...6. FE .. .........................2 ........................ ........................ .......................
ABS,5921,row parsed without values,05949A-6K-1 ..... Banc of America Mortgage 2005- BOAMS 2005-E 2IO ... ................ ....6. * ... .......................... ........................ ......................23 .......................
ABS,5921,row parsed without values,"05950L-AC-6 ..... Banc of America Mortgage 2006- BOAMS 2006-3 1A3 ... ................ ....6. * ... .......................... ........................ ..................5,182 ........................"
ABS,5922,row parsed without values,"06606F-AK-7 ..... BankAmerica Manufactured Housi BAMH 1997-2 AIO .... ................ ...6. FE .. .......................... ........................ ..................3,368 ........................."
ABS,5922,row parsed without values,07384M-WJ-7 ..... Bear Stearns ARM Trust 2003-5 BSARM 2003-5 1X ..... ................ ....6. * ... .......................... ........................ .......................4 .......................
ABS,5922,row parsed without values,07384M-WY-4 ..... Bear Stearns ARM Trust 2003-6 BSARM 2003-6 1X2 .... ................ ....6. * ... .......................... ........................ .......................6 .......................
ABS,5922,row parsed without values,07384M-XM-9 ..... Bear Stearns ARM Trust 2003-5 BSARM 2003-5 2X ..... ................ ....6. * ... .......................... ........................ ..................... 21 .......................
ABS,5923,row parsed without values,07387A-AY-1 ..... Bear Stearns ARM Trust 2005-3 BSARM 2005-3 2X ..... ................ ....6. * ... .......................... ........................ .......................3 .......................
ABS,5924,row parsed without values,"073888-AR-0 ..... Bear Stearns Asset Backed Secu BSABS 2006-SD3 2X1 ................ .. 5.B FE .. .......................... ........................ ................ 21,257 .........................."
ABS,5924,row parsed without values,07389K-AC-5 ..... Bear Stearns ALT-A Trust II 20 BSAAT 2007-1 1X1 .. ................ ....6. * ... .......................... ........................ ....................998 .........................
ABS,5925,row parsed without values,"12544A-BP-9 ..... CHL Mortgage Pass-Through Trus CWHL 2006-20 X ..... ................ .. 5.A FE .. .......................... ........................ ..................4,302 ........................"
ABS,5925,row parsed without values,12545A-AV-6 ..... CHL Mortgage Pass-Through Trus CWHL 2007-8 1A20 ... ................ ....6. * ... .......................... ........................ ........................ .......................
ABS,5925,row parsed without values,12566T-AL-1 ..... CitiMortgage Alternative Loan CMALT 2006-A7 1A11 . ................ ....6. * ... .......................... ........................ ..................... 48 ........................
ABS,5925,row parsed without values,12566U-AR-5 ..... CitiMortgage Alternative Loan CMALT 2007-A2 1A16 . ................ ....6. * ... .......................... ........................ ..................... 31 ........................
ABS,5926,row parsed without values,12567A-AK-3 ..... CitiMortgage Alternative Loan CMALT 2007-A3 1A10 . ................ ....6. * ... .......................... ........................ ......................55 ........................
ABS,5926,row parsed without values,126380-BP-8 ..... CSMC Mortgage-Backed Trust 200 CSMC 2006-9 4A3 .... ................ ...6. FE .. .......................... ........................ ......................35 ........................
ABS,5926,row parsed without values,126380-BQ-6 ..... CSMC Mortgage-Backed Trust 200 CSMC 2006-9 4A4 .... ................ ...6. FE .. .......................... ........................ ......................35 ........................
ABS,5926,row parsed without values,12638D-AC-0 ..... CSMC Mortgage-Backed Trust 200 CSMC 2007-7 1A3 .... ................ ....6. * ... .......................... ........................ ........................ .......................
ABS,5930,row parsed without values,12668A-NU-5 ..... Alternative Loan Trust 2005-54 CWALT 2005-54CB 1A2 ................................................................. ................ .. 5.B FE .. .......................... ........
ABS,5930,row parsed without values,12668A-YA-7 ..... Alternative Loan Trust 2005-62 CWALT 2005-62 1X3 . ................ ...6. FE .. .......................... ........................ ......................49 .........................
ABS,5930,row parsed without values,12668A-YC-3 ..... Alternative Loan Trust 2005-62 CWALT 2005-62 2X2 . ................ ...6. FE .. .......................... ........................ ........................ .........................
ABS,5933,row parsed without values,12669G-KK-6 ..... CHL Mortgage Pass-Through Trus CWHL 2004-25 2X .... ................ ....6. * ... .......................... ........................ ......................34 .......................
ABS,5936,row parsed without values,22540V-BW-1 ..... Credit Suisse First Boston Mor CSFB 2001-HE20 AIO ................ .. 1.D FE .. .......................... ........................ ....................187 ..........................
ABS,5936,row parsed without values,"22540V-CR-1 ..... Credit Suisse First Boston Mor CSFB 2001-HE22 AIO ................ .. 1.D FE .. .......................... ........................ ................ 35,551 .........................."
ABS,5936,row parsed without values,22541N-B8-1 ..... Credit Suisse First Boston Mor CSFB 2003-AR5 2X .. ................ ....6. * ... .......................... ........................ .......................5 ........................
ABS,5936,row parsed without values,22541N-R2-7 ..... Credit Suisse First Boston Mor CSFB 2003-AR9 2X .. ................ ....6. * ... .......................... ........................ .......................6 ........................
ABS,5936,row parsed without values,22541Q-ZY-1 ..... Credit Suisse First Boston Mor CSFB 2003-AR26 3X . ................ ....6. * ... .......................... ........................ .......................2 ........................
ABS,5936,row parsed without values,22541S-FK-9 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2004-AR4 2X ... ................ ....6. * ... .......................... ........................ ....................470 ........................
ABS,5936,row parsed without values,22541S-JQ-2 ...... CSFB Mortgage-Backed Pass-Thro CSFB 2004-AR5 2X ... ................ ....6. * ... .......................... ........................ ......................52 ......................
ABS,5936,row parsed without values,"22541S-JR-0 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2004-AR5 9X ... ................ ....6. * ... .......................... ........................ ..................1,476 ........................"
ABS,5936,row parsed without values,22541S-LJ-5 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2004-AR5 7X ... ................ ....6. * ... .......................... ........................ ........................ .......................
ABS,5936,row parsed without values,22541S-QT-8 ..... CSFB Mortgage-Backed Trust Ser CSFB 2004-AR6 CB1X ................ ....6. * ... .......................... ........................ ..................... 57 .........................
ABS,5936,row parsed without values,22541S-XY-9 ..... Credit Suisse First Boston Mor CSFB 2004-AR8 CB1X ................ ....6. * ... .......................... ........................ ....................851 ..........................
ABS,5936,row parsed without values,"225458-5X-2 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2005-9 4A4 .... ................ ....6. * ... .......................... ........................ ................ 11,363 ........................"
ABS,5936,row parsed without values,"225458-PP-7 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2005-4 2A2 .... ................ .. 5.A FE .. .......................... ........................ ................10,051 ........................."
ABS,5936,row parsed without values,"225458-PV-4 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2005-4 2A8 .... ................ .. 5.A FE .. .......................... ........................ ................ 13,450 ........................"
ABS,5937,row parsed without values,"2254W0-EP-6 ..... Credit Suisse First Boston Mor CSFB 2002-34 AX .... ................ ....6. * ... .......................... ........................ ................ 27,386 ........................"
ABS,5937,row parsed without values,"2254W0-GA-7 ..... Credit Suisse First Boston Mor CSFB 2003-1 1X ..... ................ .. 1.B FE .. .......................... ........................ ................ 15,669 ........................"
ABS,5937,row parsed without values,22944B-DG-0 ..... CSMC Mortgage-Backed Trust 200 CSMC 2007-5 6A4 .... ................ ....6. * ... .......................... ........................ .......................8 .......................
ABS,5937,row parsed without values,22945A-AJ-8 ..... CSMC 2017-RPL1 Trust CSMC 2017-RPL1 AIOS ............ ................ ....6. * ... .......................... ........................ ....................165 ......................
