section,page,reason,chunk
ALL,4309,row parsed without values,"31392D-L5-9 ..... Fannie Mae REMIC Trust 2002-W5 FNW 2002-W5 IO ..... ... ... ....... .......... .... 1.A .... .......................... ....0.8120 ................... 4,621 ........................."
ALL,4309,row parsed without values,31396W-LT-1 ..... Fannie Mae REMIC Trust 2007-W5 FNW 2007-W5 1A3 .... ... ... ....... .......... ....6. * ... .......................... ....0.0300 ......................378 ..........................
ALL,4309,row parsed without values,31396W-LU-8 ..... Fannie Mae REMIC Trust 2007-W5 FNW 2007-W5 2A3 .... ... ... ....... .......... .... 1.A .... .......................... ....0.0320 .......................46 .........................
ALL,4309,row parsed without values,"31396X-E6-7 ..... Fannie Mae REMICS FNR 2007-106 A5 ..................... ... ... ....... .......... ....6. * ... .......................... ....0.1320 ................... 1,347 ......................"
ALL,4394,row parsed without values,02150Q-AF-3 ..... Alternative Loan Trust 2007-HY CWALT 2007-HY4 2A3 ... ... ....... .......... ....6. * ... .......................... ....0.0010 ......................325 .......................... .
ALL,4394,row parsed without values,02150Q-AJ-5 ..... Alternative Loan Trust 2007-HY CWALT 2007-HY4 3A3 ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................77 .......................... .
ALL,4397,row parsed without values,05949A-6K-1 ..... Banc of America Mortgage 2005- BOAMS 2005-E 2IO ... ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................32 ..........................
ALL,4397,row parsed without values,"05950L-AC-6 ..... Banc of America Mortgage 2006- BOAMS 2006-3 1A3 ... ... ... ....... .......... ....6. * ... .......................... ....5.3690 ...................5,110 .......................... "
ALL,4398,row parsed without values,"06606F-AK-7 ..... BankAmerica Manufactured Housi BAMH 1997-2 AIO .... ... ... ....... .......... ...6. FE .. .......................... ....0.1090 ................... 4,997 .......................... "
ALL,4398,row parsed without values,07324S-CN-0 ..... Bayview Commercial Asset Trust BAYC 2005-3A IO .... ... ... ....... .......... ....6. * ... .........................1 ....0.0000 .......................... .........................
ALL,4398,row parsed without values,07384M-WJ-7 ..... Bear Stearns ARM Trust 2003-5 BSARM 2003-5 1X ..... ... ... ....... .......... ....6. * ... .......................... ....0.0010 ........................ 4 .........................
ALL,4398,row parsed without values,07384M-WY-4 ..... Bear Stearns ARM Trust 2003-6 BSARM 2003-6 1X2 .... ... ... ....... .......... ....6. * ... .......................... ....0.0010 ........................ 6 .........................
ALL,4398,row parsed without values,07384M-XA-5 ..... Bear Stearns ARM Trust 2003-6 BSARM 2003-6 1X3 .... ... ... ....... .......... ....6. * ... .......................... ....0.0010 ........................ 1 .........................
ALL,4398,row parsed without values,07384M-XM-9 ..... Bear Stearns ARM Trust 2003-5 BSARM 2003-5 2X ..... ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................22 ..........................
ALL,4399,row parsed without values,07387A-AY-1 ..... Bear Stearns ARM Trust 2005-3 BSARM 2005-3 2X ..... ... ... ....... .......... ....6. * ... .......................... ....0.0010 ........................ 4 .........................
ALL,4400,row parsed without values,"073888-AR-0 ..... Bear Stearns Asset Backed Secu BSABS 2006-SD3 2X1 ... ... ....... .......... .. 5.B FE .. .......................... ....0.4660 ..................21,125 .......................... .."
ALL,4400,row parsed without values,"07389K-AC-5 ..... Bear Stearns ALT-A Trust II 20 BSAAT 2007-1 1X1 .. ... ... ....... .......... ....6. * ... .......................... ....0.0010 ...................1,028 .......................... ."
ALL,4401,row parsed without values,"12544A-BP-9 ..... CHL Mortgage Pass-Through Trus CWHL 2006-20 X ..... ... ... ....... .......... ...6. FE .. .......................... ....0.1880 ................... 7,554 .......................... "
ALL,4401,row parsed without values,12566T-AL-1 ..... CitiMortgage Alternative Loan CMALT 2006-A7 1A11 . ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................52 .......................... 
ALL,4401,row parsed without values,12566U-AR-5 ..... CitiMortgage Alternative Loan CMALT 2007-A2 1A16 . ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................34 .......................... 
ALL,4401,row parsed without values,12567A-AK-3 ..... CitiMortgage Alternative Loan CMALT 2007-A3 1A10 . ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................64 .......................... 
ALL,4402,row parsed without values,126380-BP-8 ..... CSMC Mortgage-Backed Trust 200 CSMC 2006-9 4A3 .... ... ... ....... .......... ...6. FE .. .......................... ....0.0010 .......................38 .......................... 
ALL,4402,row parsed without values,126380-BQ-6 ..... CSMC Mortgage-Backed Trust 200 CSMC 2006-9 4A4 .... ... ... ....... .......... ...6. FE .. .......................... ....0.0010 .......................38 .......................... 
ALL,4405,row parsed without values,12668A-NU-5 ..... Alternative Loan Trust 2005-54 CWALT 2005-54CB 1A2 ................................................................. ... ... ....... .......... .. 5.C FE .. .........................
ALL,4407,row parsed without values,"126694-V9-6 ..... Alternative Loan Trust 2006-OA CWALT 2006-OA2 X2 . ... ... ....... .......... ...6. FE .. .......................... ....0.1110 ..................14,542 .......................... .."
ALL,4408,row parsed without values,12669G-KK-6 ..... CHL Mortgage Pass-Through Trus CWHL 2004-25 2X .... ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................38 ..........................
ALL,4411,row parsed without values,22541N-B8-1 ..... Credit Suisse First Boston Mor CSFB 2003-AR5 2X .. ... ... ....... .......... ....6. * ... .......................... ....0.0010 ........................ 5 ..........................
