section,page,cusip,description,naic_designation,svo_symbol,actual_cost,par_value,fair_value,bacv,stated_rate,effective_rate,acquired,maturity
ICO,5835,912803-DM-2,,1.A,,100636,362000,187794,153054,0.0,6.08,01/01/2019,05/15/2040
ICO,5835,912803-FE-8,,1.A,,2403742,5900000,1914872,2675949,0.0,3.526,12/08/2022,08/15/2048
ICO,5835,912810-EW-4,,1.A,,845250,800000,802258,801738,6.0,4.106,11/16/2022,02/15/2026
ICO,5835,912810-FJ-2,,1.A,,451531,400000,433867,429485,6.125,3.929,11/16/2022,08/15/2029
ICO,5835,912810-QC-5,,1.A,,23655000,24000000,24075480,23668744,4.5,4.637,08/21/2025,08/15/2039
ICO,5835,912810-QD-3,,1.A,,37868906,39000000,38529633,37891447,4.375,4.655,08/26/2025,11/15/2039
ICO,5835,912810-QE-1,,1.A,,61157561,61191000,61941881,61160841,4.625,4.63,12/22/2025,02/15/2040
ICO,5835,912810-QH-4,,1.A,,143226702,147210000,144950562,143285105,4.375,4.631,12/22/2025,05/15/2040
ICO,5835,912810-QL-5,,1.A,,112306641,119750000,115717682,112479493,4.25,4.825,08/21/2025,11/15/2040
ICO,5835,912810-QW-1,,1.A,,1175234,1400000,1128679,1200344,3.0,4.214,11/16/2022,05/15/2042
ICO,5835,912810-QX-9,,1.A,,50001497,64988000,50254402,50028806,2.75,4.771,12/12/2025,08/15/2042
ICO,5835,912810-RB-6,,1.A,,74986058,96950000,75413575,75019928,2.875,4.809,12/12/2025,05/15/2043
ICO,5835,912810-RE-0,,1.A,,250269280,287159000,246973424,250592543,3.625,4.672,12/17/2025,02/15/2044
ICO,5835,912810-RG-5,,1.A,,369215217,440234000,363980893,369663582,3.375,4.684,12/17/2025,05/15/2044
ICO,5835,912810-RH-3,,1.A,,369975440,459048500,364075405,370694357,3.125,4.684,11/17/2025,08/15/2044
ICO,5835,912810-RJ-9,,1.A,,151465473,192653000,149295575,151717686,3.0,4.71,11/17/2025,11/15/2044
ICO,5835,912810-RK-6,,1.A,,576120808,802550500,569417766,577589558,2.5,4.744,12/17/2025,02/15/2045
ICO,5835,912810-RM-2,,1.A,,578054845,740863500,571172938,579007062,3.0,4.734,12/17/2025,05/15/2045
ICO,5835,912810-RN-0,,1.A,,471720188,618608500,464892453,472769506,2.875,4.731,12/12/2025,08/15/2045
ICO,5835,912810-RP-5,,1.A,,536657641,691631500,529351165,537578528,3.0,4.741,12/17/2025,11/15/2045
ICO,5835,912810-RQ-3,,1.A,,115625115,162393000,113271310,115954548,2.5,4.713,10/23/2025,02/15/2046
ICO,5835,912810-RS-9,,1.A,,35944503,50000000,34739825,36016339,2.5,4.637,10/29/2025,05/15/2046
ICO,5835,912810-SA-7,,1.A,,1667250,1950000,1453917,1690411,3.0,3.902,09/29/2022,02/15/2048
ICO,5835,912810-SC-3,,1.A,,1115715,1270000,966467,1128179,3.125,3.874,09/29/2022,05/15/2048
ICO,5835,912810-SD-1,,1.A,,3601108,4190000,3108615,3648212,3.0,3.86,09/29/2022,08/15/2048
ICO,5835,912810-SF-6,,1.A,,40880675,53680000,39623897,41117209,3.0,4.663,03/10/2025,02/15/2049
ICO,5835,912810-SH-2,,1.A,,601836,710000,510451,610120,2.875,3.785,09/29/2022,05/15/2049
ICO,5835,912810-SJ-8,,1.A,,81847,110000,69137,83972,2.25,3.77,09/29/2022,08/15/2049
ICO,5835,912810-SP-4,,1.A,,59070,100000,49299,61977,1.375,3.753,09/29/2022,08/15/2050
ICO,5835,912810-ST-6,,1.A,,7443595,10730000,6977874,7863483,1.375,3.729,12/08/2022,11/15/2040
ICO,5835,912810-SW-9,,1.A,,51397427,73778000,51639318,51504550,1.875,4.679,12/12/2025,02/15/2041
ICO,5835,912810-TA-6,,1.A,,25599462,38144000,25783563,25658398,1.75,4.737,12/12/2025,08/15/2041
ICO,5835,912810-TB-4,,1.A,,431252738,462500000,256273748,434335770,1.875,2.183,02/07/2022,11/15/2051
ICO,5835,912810-TC-2,,1.A,,935611719,974000000,681024209,941996582,2.0,2.246,02/07/2022,11/15/2041
ICO,5835,912810-TH-1,,1.A,,29184943,34903000,29157683,29261232,3.25,4.671,12/12/2025,05/15/2042
ICO,5835,912810-TR-9,,1.A,,131779837,138700000,112446587,132148941,3.625,3.906,08/02/2023,05/15/2053
ICO,5835,912810-TS-7,,1.A,,316585940,325500000,292468944,317468855,3.875,4.073,08/02/2023,05/15/2043
ICO,5835,912810-TU-2,,1.A,,339484707,363750000,348041020,341304377,4.375,4.899,12/08/2023,08/15/2043
ICO,5835,912810-TV-0,,1.A,,2426025,2250000,2212686,2420264,4.75,4.28,12/08/2023,11/15/2053
ICO,5835,912810-TW-8,,1.A,,46313788,43750000,43824664,46153712,4.75,4.304,02/09/2024,11/15/2043
ICO,5835,912810-UC-0,,1.A,,136290180,135250000,122553366,136288500,4.25,4.2,10/11/2024,08/15/2054
ICO,5835,912810-UD-8,,1.A,,47113688,48000000,44122493,47157563,4.125,4.26,10/11/2024,08/15/2044
ICO,5835,912810-UG-1,,1.A,,12694070,12470000,12036348,12689096,4.625,4.514,03/10/2025,02/15/2055
ICO,5835,912810-UL-0,,1.A,,1597473554,1561212500,1605112859,1597238544,5.0,4.813,11/17/2025,05/15/2045
ICO,5835,912810-UM-8,,1.A,,23103190,23429000,23081845,23103982,4.75,4.836,12/22/2025,08/15/2055
ICO,5835,912810-UN-6,,1.A,,2142842930,2107483500,2131080361,2142886448,4.875,4.74,12/22/2025,08/15/2045
ICO,5835,912810-UP-1,,1.A,,23376529,24195000,23356046,23376529,4.625,4.838,12/22/2025,11/15/2055
ICO,5836,912810-UQ-9,,1.A,,64955888,66529000,65091628,64955888,4.625,4.809,12/22/2025,11/15/2045
ICO,5836,912828-6T-2,,1.A,,547500,600000,577275,571193,2.375,3.912,11/16/2022,05/15/2029
ICO,5836,912828-R3-6,,1.A,,460391,500000,496655,495616,1.625,4.08,11/16/2022,05/15/2026
ICO,5836,912828-X8-8,,1.A,,935000,1000000,985233,979002,2.375,3.964,11/16/2022,05/15/2027
ICO,5836,912828-YB-0,,1.A,,348000,400000,373631,370505,1.625,3.827,11/16/2022,08/15/2029
ICO,5836,91282C-DJ-7,,1.A,,441977734,462500000,403064264,449743957,1.375,1.871,02/07/2022,11/15/2031
ICO,5836,91282C-EP-2,,1.A,,1483375,1600000,1509304,1517377,2.875,3.793,11/16/2022,05/15/2032
ICO,5836,91282C-FB-2,,1.A,,91107545,95000000,93941643,92921175,2.75,4.206,07/18/2024,07/31/2027
ICO,5836,91282C-FT-3,,1.A,,14944386,15000000,15201336,14953991,4.0,4.083,03/24/2025,10/31/2029
ICO,5836,91282C-GB-1,,1.A,,34536445,35000000,35309344,34611987,3.875,4.177,03/26/2025,12/31/2029
ICO,5836,91282C-HC-8,,1.A,,79251302,81750000,78649059,79827901,3.375,3.742,08/02/2023,05/15/2033
ICO,5836,91282C-HQ-7,,1.A,,7541334,7500000,7613566,7531578,4.125,3.95,03/11/2025,07/31/2028
ICO,5836,91282C-HT-1,,1.A,,66900041,71250000,70710887,67740622,3.875,4.65,11/09/2023,08/15/2033
ICO,5836,91282C-JJ-1,,1.A,,11188325,11000000,11368776,11157634,4.5,4.282,12/08/2023,11/15/2033
ICO,5836,91282C-JN-2,,1.A,,7586158,7500000,7672157,7567760,4.375,4.031,03/12/2025,11/30/2028
ICO,5836,91282C-JR-3,,1.A,,14839503,15000000,15088008,14872176,3.75,4.059,03/24/2025,12/31/2028
ICO,5836,91282C-JT-9,,1.A,,16191799,16500000,16582119,16380184,4.0,4.724,04/18/2024,01/15/2027
ICO,5836,91282C-JV-4,,1.A,,39820447,40000000,40010380,39992045,4.25,4.49,02/09/2024,01/31/2026
ICO,5836,91282C-JW-2,,1.A,,107757473,109700000,111126067,108412683,4.0,4.404,04/18/2024,01/31/2029
ICO,5836,91282C-JX-0,,1.A,,123697242,126000000,127507514,124243772,4.0,4.304,02/26/2024,01/31/2031
ICO,5836,91282C-KA-8,,1.A,,22026402,22200000,22353329,22135986,4.125,4.402,02/21/2024,02/15/2027
