section,page,code,label,monies
ICO,5837,0019999999,"Subtotal - issuer credit obligations - U.S. government obligations (exempt from RBC) 14,74",14746221241;15700464500;14249244797;14783432998;19691447;145614336;253351719;16470965698
ICO,5837,0039999999,"Subtotal - issuer credit obligations - non-U.S. sovereign jurisdiction securities 641,083,",641083930;606793878;526285726;640532566;-1248113;8675178;6174211;30846122;475508840
ICO,5838,0049999999,Subtotal - issuer credit obligations - municipal bonds - general obligations (direct and g,35902839;32050000;33638980;34712448;-159267;761397;1815273;30325669
ICO,5839,0059999999,"Subtotal - issuer credit obligations - municipal bonds - special revenue 323,883,966 358,8",323883966;358897575;316047883;343244069;2369649;3106395;13079598;149945426
ICO,5840,0069999999,Subtotal - issuer credit obligations - project finance bonds issued by operating entities ,3480380846;3481018791;3476612523;3480607916;94057;11972166;53099326;60358116
ICO,5840,0079999999,Subtotal - issuer credit obligations - project finance bonds issued by operating entities ,2109739030;2153786862;2162007860;2153828055;-2040;51956355;19754655;77043489;1019920157
ICO,5900,0089999999,"Subtotal - issuer credit obligations - corporate bonds (unaffiliated) 40,029,870,963 40,08",40029870963;40080845024;38034029150;39942497266;-2723266;-1783945;329503429;480301367;1505521790;38121407337
ICO,5900,0099999999,"Subtotal - issuer credit obligations - corporate bonds (affiliated) 941,143,833 940,490,00",941143833;940490000;971344799;940547519;-153423;10979871;57660434;949194770
ICO,5900,0109999999,"Subtotal - issuer credit obligations - mandatory convertible bonds (unaffiliated) 20,721,8",20721808;56546988;27543090;20658963;-103409;35636;80585;967020;57030498
ICO,5903,0129999999,"Subtotal - issuer credit obligations - single entity backed obligations (unaffiliated) 2,8",2820679329;2827132650;2556056446;2811735288;-278165;7976403;16055394;111219487;483740480
ICO,5903,0139999999,"Subtotal - issuer credit obligations - single entity backed obligations (affiliated) 5,825",5825999986;5898085517;6158332874;5899799449;-145221;116733070;46301839;343374413;265774068
ICO,5908,0169999999,Subtotal - issuer credit obligations - bonds issued by funds representing operating entiti,11822448297;11755141496;11866311436;11834873029;7451067;4798862;38139533;135833317;416477819;10059955076
ICO,5909,0189999999,"Subtotal - issuer credit obligations - bank loans - issued (unaffiliated) 1,046,847,692 1,",1046847692;1067530119;1061411771;1058120230;1139150;8726437;7332197;44066517;1071175890
ICO,5910,0209999999,"Subtotal - issuer credit obligations - bank loans - acquired (unaffiliated) 533,716,244 53",533716244;533242739;525398920;533693789;735955;13334032;3854714;32728439;452498453
ICO,5910,0219999999,"Subtotal - issuer credit obligations - bank loans - acquired (affiliated) 909,392,546 911,",909392546;911019574;907333049;910210136;247852;182778;65495569;928660196
ICO,5910,0489999999,"Total - issuer credit obligations (unaffiliated) 75,501,757,155 76,499,663,760 72,672,580,",75501757155;76499663760;72672580722;75484108562;-2826675;28047471;4798862;406355012;811086079;2463173110;67432911483
ICO,5910,0499999999,"Total - issuer credit obligations (affiliated) 9,786,275,395 9,903,381,953 10,199,018,582 ",9786275395;9903381953;10199018582;9904385159;-52832;168689425;77219143;543573905;3163549191
ICO,5910,0509999999,"Total - issuer credit obligations 85,288,032,550 86,403,045,713 82,871,599,304 85,388,493,",85288032550;86403045713;82871599304;85388493721;-2826675;27994639;4798862;575044437;888305222;3006747015;70596460674
ABS,5913,1019999999,Subtotal - asset-backed securities - financial asset-backed securities - self-liquidating ,20195779;16593555;21601484;2657920;670145;703338;10185225;1240
