section,page,code,label,monies
ALL,2688,0019999999,"Subtotal - Bonds - U.S. Governments - Issuer Obligations 3,218,983,098 XXX 2,855,163,381 3",3218983098;2855163381;3380352200;3228447470;5600702;19425369;45671994
ALL,2690,0029999999,"Subtotal - Bonds - U.S. Governments - Residential Mortgage-Backed Securities 36,343,791 XX",36343791;23573031;33475426;-5228397;4996415;904279;11408212
ALL,2691,0039999999,"Subtotal - Bonds - U.S. Governments - Commercial Mortgage- Backed Securities 177,146,155 X",177146155;140565139;178919564;178239311;-34478;44373;445803;5352100
ALL,2691,0109999999,"Total - U.S. Government Bonds 3,432,473,044 XXX 3,019,301,551 3,559,271,764 3,440,162,207 ",3432473044;3019301551;3559271764;3440162207;337827;5040788;20775451;62432306
ALL,2692,0219999999,"Subtotal - Bonds - All Other Governments - Issuer Obligations 314,416,919 XXX 242,760,213 ",314416919;242760213;285372105;311891803;-690469;59165;3073395;12521033
ALL,2692,0309999999,"Total - All Other Government Bonds 314,416,919 XXX 242,760,213 285,372,105 311,891,803 (69",314416919;242760213;285372105;311891803;-690469;59165;3073395;12521033
ALL,2692,0419999999,"Subtotal - Bonds - U.S. States, Territories and Possessions - Issuer Obligations 24,907,58",24907587;22127940;22234716;24458051;-176273;140636;398569
ALL,2692,0509999999,"Total - U.S. States, Territories and Possessions Bonds 24,907,587 XXX 22,127,940 22,234,71",24907587;22127940;22234716;24458051;-176273;140636;398569
ALL,2692,0619999999,"Subtotal - Bonds - U.S. Political Subdivisions - Issuer Obligations 36,842,776 XXX 37,614,",36842776;37614273;35915000;36526198;-30936;924998;1990178
ALL,2692,0709999999,"Total - U.S. Political Subdivisions Bonds 36,842,776 XXX 37,614,273 35,915,000 36,526,198 ",36842776;37614273;35915000;36526198;-30936;924998;1990178
ALL,2693,0819999999,"Subtotal - Bonds - U.S. Special Revenues - Issuer Obligations 375,079,702 XXX 387,785,643 ",375079702;387785643;404799617;389281259;1900370;4536236;16988036
ALL,2694,0829999999,"Subtotal - Bonds - U.S. Special Revenues - Residential Mortgage- Backed Securities 752,658",752658967;791531236;861614291;753746869;1083788;2503856;7145064
ALL,2694,0909999999,"Total - U.S. Special Revenues Bonds 1,127,738,669 XXX 1,179,316,879 1,266,413,908 1,143,02",1127738669;1179316879;1266413908;1143028128;2984158;7040092;24133100
ALL,2764,1019999999,"Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Issuer Obligations 31,196",31196750338;29085420588;30740398410;30931966932;273535;-21095976;56919581;104459177;326274024;1005597225
