section,page,code,label,monies
ALL,531,0019999999,"Subtotal - Bonds - U.S. Governments - Issuer Obligations 22,615,180 XXX 21,737,634 22,700,",22615180;21737634;22700000;22660758;11305;119365;368875
ALL,531,0029999999,"Subtotal - Bonds - U.S. Governments - Residential Mortgage-Backed Securities 2,184,754 XXX",2184754;1026933;1550191;-289692;425773;42914;556842
ALL,531,0039999999,"Subtotal - Bonds - U.S. Governments - Commercial Mortgage- Backed Securities 97,798,139 XX",97798139;88629661;96027629;97298406;548126;241670;2900034
ALL,531,0109999999,"Total - U.S. Government Bonds 122,598,073 XXX 111,394,228 118,727,629 121,509,355 269,739 ",122598073;111394228;118727629;121509355;269739;425773;403949;3825751
ALL,532,0219999999,"Subtotal - Bonds - All Other Governments - Issuer Obligations 750,442,959 XXX 654,145,712 ",750442959;654145712;734103000;748698171;-191735;7637841;29966034
ALL,532,0309999999,"Total - All Other Government Bonds 750,442,959 XXX 654,145,712 734,103,000 748,698,171 (19",750442959;654145712;734103000;748698171;-191735;7637841;29966034
ALL,533,0419999999,"Subtotal - Bonds - U.S. States, Territories and Possessions - Issuer Obligations 49,507,78",49507782;41767185;49865000;49574158;16014;543230;1591189
ALL,533,0509999999,"Total - U.S. States, Territories and Possessions Bonds 49,507,782 XXX 41,767,185 49,865,00",49507782;41767185;49865000;49574158;16014;543230;1591189
ALL,536,0619999999,"Subtotal - Bonds - U.S. Political Subdivisions - Issuer Obligations 422,727,294 XXX 366,41",422727294;366413457;422356068;422480931;-44716;4509898;15506196
ALL,536,0649999999,Subtotal - Bonds - U.S. Political Subdivisions - Other Loan-Backed and Structured Securiti,13183671;10265478;13590000;13213351;15719;30917;371007
ALL,536,0709999999,"Total - U.S. Political Subdivisions Bonds 435,910,965 XXX 376,678,935 435,946,068 435,694,",435910965;376678935;435946068;435694282;-28997;4540815;15877203
ALL,546,0819999999,"Subtotal - Bonds - U.S. Special Revenues - Issuer Obligations 2,559,176,021 XXX 2,137,574,",2559176021;2137574566;2509986527;2558385866;-315706;28233502;94734532
ALL,548,0829999999,"Subtotal - Bonds - U.S. Special Revenues - Residential Mortgage- Backed Securities 584,483",584483452;576077479;610084186;601064978;2438304;1802794;21457539
ALL,548,0839999999,"Subtotal - Bonds - U.S. Special Revenues - Commercial Mortgage- Backed Securities 46,929,2",46929239;45617695;46661900;46575612;-6252;156145;1907366
ALL,548,0849999999,"Subtotal - Bonds - U.S. Special Revenues - Other Loan-Backed and Structured Securities 37,",37509222;28211491;38710000;37573653;38649;195115;1140643
ALL,548,0909999999,"Total - U.S. Special Revenues Bonds 3,228,097,934 XXX 2,787,481,231 3,205,442,613 3,243,60",3228097934;2787481231;3205442613;3243600109;2154995;30387556;119240080
ALL,607,1019999999,"Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Issuer Obligations 20,123",20123457005;17820996502;19881994838;20064587384;-411681;-9038004;46568035;5742632;198597464;799929921
ALL,613,1029999999,Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Residential Mortgage-Back,779221208;717160199;867238726;748851510;39285;-2974435;567621;3024768;33226694
