page,code,label,monies
6284,0019999999,Subtotal - issuer credit obligations - U.S. government obligations,1724252000;1650839443;1687582913;1653162092;2322652;2322652;34420821;34420821;33117054;10342106
6284,0039999999,Subtotal - issuer credit obligations - non-U.S. sovereign jurisdiction securitie,1900000;1744254;1912521;1746794;2540;2540;165727;165727;66777;24106
6284,0049999999,Subtotal - issuer credit obligations - municipal bonds - general obligations,4220000;4930142;4955419;4924004;-6137;-6137;31415;31415;165283;135392
6284,0059999999,Subtotal - issuer credit obligations - municipal bonds - special revenue,7782000;7253211;7192342;7265288;12077;12077;-72945;-72945;135424;40124
6284,0069999999,Subtotal - issuer credit obligations - project finance bonds issued by operating,95975000;95975000;95975000;95975000;4173610
6284,0079999999,Subtotal - issuer credit obligations - project finance bonds issued by operating,26296150;26296150;26803311;26296150;507161;507161;691493;12184
6310,0089999999,Subtotal - issuer credit obligations - corporate bonds,10477751052;10143514580;10253203683;10148900325;5385769;5385769;104377253;104377253;260714514;108120597
6310,0099999999,Subtotal - issuer credit obligations - corporate bonds,22500000;22439123;22681125;22444623;5500;5500;236502;236502;875000;626237
6311,0129999999,Subtotal - issuer credit obligations - single entity backed obligations,3084612547;3084456059;3084602426;3084458898;2837;2837;143529;143529;19544649;513170
6311,0139999999,Subtotal - issuer credit obligations - single entity backed obligations,107060896;106617879;107060896;107060896;-137665;-137665;580682;580682;3377700;466290
6311,0149999999,Subtotal - issuer credit obligations - SVO-identified bond exchange traded funds,253094021;260548385;253094021;7454364;7454364;-134938
6313,0169999999,Subtotal - issuer credit obligations - bonds issued by funds representing operat,2922739657;2891649090;2901785150;2890727731;1099968;1099968;-1972343;11008439;9036096;56997138;21719471
6314,0189999999,Subtotal - issuer credit obligations - bank loans - issued,106818193;106070886;106122172;106122172;51286;51286;6728807;10118
6314,0209999999,Subtotal - issuer credit obligations - bank loans - acquired,4001937;3990208;3854686;3998109;7901;7901;-143423;-143423;88115
6314,0489999999,Total - issuer credit obligations,18430052386;18243516894;18407734697;18250374434;8878893;8878893;-1972343;157385180;155412837;381596433;140905084
6314,0499999999,Total - issuer credit obligations,155857046;155353152;156545332;155801669;-132165;-132165;580682;743663;1324345;4944193;1104711
6314,0509999998,Total - issuer credit obligations,18585909432;18398870046;18564280029;18406176103;8746728;8746728;-1391661;158128843;156737182;386540626;142009795
6315,1019999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,247
6316,1039999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,475522203;423143828;435147259;427128950;3985123;3985123;8018312;8018312;5585434;764001
