cedent,counterparty,account,status_id,effective,reins_type,business,reserve_credit_cur,reserve_credit_prior,premiums_fy2025,modco_reserve,funds_withheld,source_doc,source_location,sha256
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/I,IA,0,0,4370123857,37746824754,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/G,IA,0,0,7413873,235868387,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/I,FA,0,0,5594790421,13087978003,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/G,FA,0,0,726597,155726152,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/G,FA,0,0,148647,189320292,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/I,FA,0,0,395558,189197674,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/I,OL,0,0,893511,36091618,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/G,FA,0,0,601191401,0,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/G,FA,0,0,712311,40604020,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/I,FA,0,0,91975020,2375350027,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/I,FA,0,0,29849,0,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
Athene Annuity and Life Company (61689),Athene Annuity Re Ltd (BMU),GA,AA-3191361,2018-01-01,MCO/I,IA,0,0,22262,0,0,aaia-statutory-4q2025,Schedule S Part 3 Sec 1 pp.128-135,6580cd4c9b539f8f7ee17d4c176b2c5b041b5fe8923cf3baf6f5b7ddca1e562a
