period,metric,value,unit,source_file,anchor_quote
FY2025,net_premiums,4487,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Net premiums | 12 | $ | 4,487 | $ | 8,267 | $ | 4,137'"
FY2024,net_premiums,8267,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Net premiums | 12 | $ | 4,487 | $ | 8,267 | $ | 4,137'"
FY2023,net_premiums,4137,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Net premiums | 12 | $ | 4,487 | $ | 8,267 | $ | 4,137'"
FY2025,other_policy_revenue,790,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Other policy revenue | 12 | 790 | 781 | 413'
FY2024,other_policy_revenue,781,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Other policy revenue | 12 | 790 | 781 | 413'
FY2023,other_policy_revenue,413,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Other policy revenue | 12 | 790 | 781 | 413'
FY2025,net_investment_income,5819,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Net investment income | 10 | 5,819 | 4,264 | 1,809'"
FY2024,net_investment_income,4264,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Net investment income | 10 | 5,819 | 4,264 | 1,809'"
FY2023,net_investment_income,1809,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Net investment income | 10 | 5,819 | 4,264 | 1,809'"
FY2025,investment_related_gains,485,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Investment related gains | 10 | 485 | 369 | 425'
FY2024,investment_related_gains,369,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Investment related gains | 10 | 485 | 369 | 425'
FY2023,investment_related_gains,425,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Investment related gains | 10 | 485 | 369 | 425'
FY2025,net_investment_results_reinsurance_funds_withheld,54,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Net investment results from reinsurance funds withheld | 54 | 422 | 128'
FY2024,net_investment_results_reinsurance_funds_withheld,422,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Net investment results from reinsurance funds withheld | 54 | 422 | 128'
FY2023,net_investment_results_reinsurance_funds_withheld,128,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Net investment results from reinsurance funds withheld | 54 | 422 | 128'
FY2025,total_revenues,11635,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Total revenues | 11,635 | 14,103 | 6,912'"
FY2024,total_revenues,14103,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Total revenues | 11,635 | 14,103 | 6,912'"
FY2023,total_revenues,6912,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Total revenues | 11,635 | 14,103 | 6,912'"
FY2025,policyholder_benefits_and_claims_incurred,-4489,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Policyholder benefits and claims incurred | (4,489) | (8,162) | (3,939)'"
FY2024,policyholder_benefits_and_claims_incurred,-8162,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF OPERATIONS (US$ MILLIONS): 'Policyholder benefits and claims incurred | (4,489) | (8,162) | (3,939)'"
