period,metric,value,unit,source_file,anchor_quote
FY2023,cash_and_cash_equivalents,19670881,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Cash and cash equivalents
FY2022,cash_and_cash_equivalents,10948745,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Cash and cash equivalents
FY2023,restricted_cash,225553405,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Restricted cash
FY2022,restricted_cash,164810552,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Restricted cash
FY2023,fixed_maturity_trading,99151767,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,"Fixed maturity securities, trading, at fair value"
FY2022,fixed_maturity_trading,102682967,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,"Fixed maturity securities, trading, at fair value"
FY2023,fixed_maturity_afs,2139456599,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,"Fixed maturity securities, available for sale, at fair value, net of allowance for credit losses"
FY2022,fixed_maturity_afs,220647262,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,"Fixed maturity securities, available for sale, at fair value, net of allowance for credit losses"
FY2023,other_investments,41102525,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Other investments
FY2022,other_investments,33736825,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Other investments
FY2023,derivative_assets,36677286,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Derivative assets
FY2022,derivative_assets,12987450,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Derivative assets
FY2023,funds_withheld_assets,2737664843,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Funds withheld assets
FY2022,funds_withheld_assets,2950414208,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Funds withheld assets
FY2023,total_cash_and_invested_assets,5299277306,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Total cash and invested assets
FY2022,total_cash_and_invested_assets,3496228009,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Total cash and invested assets
FY2023,accrued_investment_income,26548225,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Accrued investment income
FY2022,accrued_investment_income,3757914,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Accrued investment income
FY2023,accounts_receivable,86486970,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Accounts receivable
FY2022,accounts_receivable,182898431,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Accounts receivable
FY2023,reinsurance_recoverable,601698241,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Reinsurance recoverable
FY2022,reinsurance_recoverable,363088866,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Reinsurance recoverable
FY2023,deferred_acquisition_costs,66416602,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Deferred acquisition costs
FY2022,deferred_acquisition_costs,77618271,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Deferred acquisition costs
FY2023,total_assets,6080427344,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Total assets
FY2022,total_assets,4123591491,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Total assets
FY2023,future_policy_benefit_reserves,4717071945,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Future policy benefit reserves
FY2022,future_policy_benefit_reserves,3016925128,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Future policy benefit reserves
FY2023,deposit_liability,295626469,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Deposit liability
FY2022,deposit_liability,374587792,USD,raw/cross-section/blueowl/bermuda/klr-fs-2023.pdf,Deposit liability
