period,metric,value
1Q23,adj_cost_ins,739
1Q23,adj_debt,1951
1Q23,adj_equity,6906
1Q23,adj_gae,157
1Q23,adj_interest,40
1Q23,adj_invested_assets,122657
1Q23,adj_nii,1271
1Q23,adj_op_pretax,335
1Q23,adj_op_roe,16.1
1Q23,adj_op_tax,-56
1Q23,adj_roe,-5.7
1Q23,adj_underwriting,532
1Q23,aoi_net,279
1Q23,aoi_net_aoe,279
1Q23,aor_pretax,1.1
1Q23,avg_aia,121872
1Q23,avg_total_inv,129373
1Q23,cost_ins_ratio,-2.42
1Q23,gae_ratio,-0.52
1Q23,interest_ratio,-0.13
1Q23,inv_gl,-114
1Q23,nbv_block,79
1Q23,nbv_fia,1065
1Q23,nbv_fixed_rate,2146
1Q23,nbv_flow,2430
1Q23,nbv_funding_agreements,0
1Q23,nbv_life,4
1Q23,nbv_preneed,75
1Q23,nbv_prt,0
1Q23,nbv_retirement_total,3215
1Q23,nbv_va,4
1Q23,ni_shareholder,-98
1Q23,nier,4.17
1Q23,nii,1237
1Q23,other_income,37
1Q23,policy_fees,314
1Q23,premiums,474
1Q23,roe,
1Q23,shareholders_equity,-203
1Q23,total_assets,174831
1Q23,total_debt,2157
1Q23,total_liabilities,174856
1Q23,total_revenues,1948
1Q23,underwriting_ratio,1.75
1Q24,adj_cost_ins,986
1Q24,adj_debt,2914
1Q24,adj_equity,8071
1Q24,adj_gae,156
1Q24,adj_interest,55
1Q24,adj_invested_assets,136058
1Q24,adj_nii,1486
1Q24,adj_op_pretax,289
1Q24,adj_op_roe,12.3
1Q24,adj_op_tax,-49
1Q24,adj_roe,-3.0
1Q24,adj_underwriting,500
1Q24,aoi_net,240
1Q24,aoi_net_aoe,240
1Q24,aor_pretax,0.87
1Q24,avg_aia,133728
1Q24,avg_total_inv,153751
1Q24,cost_ins_ratio,-2.94
1Q24,gae_ratio,-0.47
1Q24,interest_ratio,-0.16
1Q24,inv_gl,-231
1Q24,nbv_block,10162
1Q24,nbv_fia,1264
1Q24,nbv_fixed_rate,2985
