designation,factor_pretax_pct,source,source_location,fetched,sha256_prefix
1.A,0.16,milliman-life-rbc-c1-2021,Figure 1 p.2 (2021+ Requirement Before Tax),2026-07-22,87c7eda40e6e8b5a
1.B,0.27,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
1.C,0.42,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
1.D,0.52,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
1.E,0.66,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
1.F,0.82,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
1.G,1.02,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
2.A,1.26,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
2.B,1.52,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
2.C,2.17,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
3.A,3.15,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
3.B,4.54,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
3.C,6.02,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
4.A,7.39,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
4.B,9.54,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
4.C,12.43,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
5.A,16.94,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
5.B,23.80,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
5.C,30.00,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
6,30.00,milliman-life-rbc-c1-2021,Figure 1 p.2,2026-07-22,87c7eda40e6e8b5a
